orf#	start	end	strand	contig	id	annot	score	evalue	aln_length	interpro_annot	interpro_evalue
57	38834	39067	TRUE	AOID01000019.1	AOID01000019.1_57	""					
58	39068	39490	TRUE	AOID01000019.1	AOID01000019.1_58	""					
59	39487	39903	TRUE	AOID01000019.1	AOID01000019.1_59	""					
60	39904	40086	TRUE	AOID01000019.1	AOID01000019.1_60	""					
61	40079	40273	TRUE	AOID01000019.1	AOID01000019.1_61	""					
62	40270	40986	TRUE	AOID01000019.1	AOID01000019.1_62	""					
63	41094	41747	TRUE	AOID01000019.1	AOID01000019.1_63	""					
64	41744	42238	TRUE	AOID01000019.1	AOID01000019.1_64	""					
65	42231	42473	TRUE	AOID01000019.1	AOID01000019.1_65	""					
66	42476	43003	TRUE	AOID01000019.1	AOID01000019.1_66	""					
67	42996	43277	TRUE	AOID01000019.1	AOID01000019.1_67	""					
68	44355	44495	TRUE	AOID01000019.1	AOID01000019.1_68	""					
69	44628	45473	TRUE	AOID01000019.1	AOID01000019.1_69	""				P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASE	6.3e-26
70	45476	45895	TRUE	AOID01000019.1	AOID01000019.1_70	""					
71	45952	46404	TRUE	AOID01000019.1	AOID01000019.1_71	""				HNHc	8.58724e-10
72	46505	46894	TRUE	AOID01000019.1	AOID01000019.1_72	""				Archaeal Type IV pilin, N-terminal	1.7e-11
73	46944	47144	TRUE	AOID01000019.1	AOID01000019.1_73	""					
74	47141	47341	TRUE	AOID01000019.1	AOID01000019.1_74	""					
75	47478	47696	TRUE	AOID01000019.1	AOID01000019.1_75	""					
76	47693	47968	TRUE	AOID01000019.1	AOID01000019.1_76	""					
77	48489	48617	TRUE	AOID01000019.1	AOID01000019.1_77	""					
78	48598	49878	TRUE	AOID01000019.1	AOID01000019.1_78	""				Putative transposase DNA-binding domain	1.4e-18
79	49986	50213	FALSE	AOID01000019.1	AOID01000019.1_79	""					
80	50206	50544	FALSE	AOID01000019.1	AOID01000019.1_80	""					
81	50541	50792	FALSE	AOID01000019.1	AOID01000019.1_81	""					
82	50785	50994	FALSE	AOID01000019.1	AOID01000019.1_82	""					
83	51126	51335	FALSE	AOID01000019.1	AOID01000019.1_83	""				RHH_NikR_HicB-like	2.25276e-08
84	51337	51759	FALSE	AOID01000019.1	AOID01000019.1_84	""					
85	51760	51972	FALSE	AOID01000019.1	AOID01000019.1_85	""					
86	51969	52409	FALSE	AOID01000019.1	AOID01000019.1_86	""					
87	52406	52813	FALSE	AOID01000019.1	AOID01000019.1_87	""					
88	52810	53214	FALSE	AOID01000019.1	AOID01000019.1_88	""					
89	53207	53491	FALSE	AOID01000019.1	AOID01000019.1_89	""					
90	53488	53778	FALSE	AOID01000019.1	AOID01000019.1_90	""					
91	53964	54326	TRUE	AOID01000019.1	AOID01000019.1_91	""					
92	54372	54572	TRUE	AOID01000019.1	AOID01000019.1_92	""					
93	54631	55002	TRUE	AOID01000019.1	AOID01000019.1_93	""					
94	55063	55410	TRUE	AOID01000019.1	AOID01000019.1_94	""					
95	55451	55624	TRUE	AOID01000019.1	AOID01000019.1_95	""					
96	55639	56079	FALSE	AOID01000019.1	AOID01000019.1_96	""					
97	56076	56228	FALSE	AOID01000019.1	AOID01000019.1_97	""					
98	56225	56491	FALSE	AOID01000019.1	AOID01000019.1_98	""					
99	56488	56760	FALSE	AOID01000019.1	AOID01000019.1_99	""					
100	56757	57131	FALSE	AOID01000019.1	AOID01000019.1_100	""					
101	57124	57570	FALSE	AOID01000019.1	AOID01000019.1_101	""				HNH_5	6.1e-13
102	57567	57803	FALSE	AOID01000019.1	AOID01000019.1_102	""					
103	57900	58877	TRUE	AOID01000019.1	AOID01000019.1_103	""					
104	58874	59023	TRUE	AOID01000019.1	AOID01000019.1_104	""					
105	59090	59641	TRUE	AOID01000019.1	AOID01000019.1_105	""				Family of unknown function (DUF5806)	2.6e-53
106	59628	60260	TRUE	AOID01000019.1	AOID01000019.1_106	""				HNH NUCLEASE YAJD-RELATED	5.8e-10
107	60484	61716	TRUE	AOID01000019.1	AOID01000019.1_107	""				DNA breaking-rejoining enzymes	9.71e-20
108	61638	61868	FALSE	AOID01000019.1	AOID01000019.1_108	""					
109	61873	63129	FALSE	AOID01000019.1	AOID01000019.1_109	""					
110	63151	63810	FALSE	AOID01000019.1	AOID01000019.1_110	""					
111	63817	64314	FALSE	AOID01000019.1	AOID01000019.1_111	""					
112	64318	64569	FALSE	AOID01000019.1	AOID01000019.1_112	""					
113	64842	67274	FALSE	AOID01000019.1	AOID01000019.1_113	""					
114	67278	69359	FALSE	AOID01000019.1	AOID01000019.1_114	ORF24.faa	711.1	4.4e-216	519		
115	69363	70724	FALSE	AOID01000019.1	AOID01000019.1_115	ORF23.faa	548.2	7.6e-167	425		
116	70734	71720	FALSE	AOID01000019.1	AOID01000019.1_116	""					
117	71720	71989	FALSE	AOID01000019.1	AOID01000019.1_117	""					
118	71986	72660	FALSE	AOID01000019.1	AOID01000019.1_118	ORF21.faa	225.3	3.6e-69	199		
119	72657	72995	FALSE	AOID01000019.1	AOID01000019.1_119	""					
84	69321	70109	TRUE	AOIO01000049.1	AOIO01000049.1_84	""					
85	70336	70605	TRUE	AOIO01000049.1	AOIO01000049.1_85	""					
86	70672	72252	FALSE	AOIO01000049.1	AOIO01000049.1_86	""				ASPARAGINE SYNTHETASE (GLUTAMINE-HYDROLYZING)	8.7e-25
87	72401	72604	FALSE	AOIO01000049.1	AOIO01000049.1_87	""					
88	72886	73563	TRUE	AOIO01000049.1	AOIO01000049.1_88	""					
89	73573	76854	TRUE	AOIO01000049.1	AOIO01000049.1_89	ORF6.faa	1100.7	0	1166		
90	76864	77655	TRUE	AOIO01000049.1	AOIO01000049.1_90	ORF8.faa	321.3	2.3e-98	254		
91	77774	80164	TRUE	AOIO01000049.1	AOIO01000049.1_91	""				Peptidase S8/S53 domain	5.7e-53
92	80161	81126	TRUE	AOIO01000049.1	AOIO01000049.1_92	""					
93	81138	81662	TRUE	AOIO01000049.1	AOIO01000049.1_93	""					
94	81659	82357	TRUE	AOIO01000049.1	AOIO01000049.1_94	""				Concanavalin A-like lectins/glucanases	1.98e-21
95	82517	83545	TRUE	AOIO01000049.1	AOIO01000049.1_95	ORF10.faa	334.7	4.1e-102	327		
96	83633	83881	TRUE	AOIO01000049.1	AOIO01000049.1_96	""					
97	84036	84683	TRUE	AOIO01000049.1	AOIO01000049.1_97	""					
98	84892	85347	TRUE	AOIO01000049.1	AOIO01000049.1_98	""					
99	85344	86288	TRUE	AOIO01000049.1	AOIO01000049.1_99	ORF17.faa	423.5	2.5e-129	297		
100	86285	86521	TRUE	AOIO01000049.1	AOIO01000049.1_100	""					
101	86518	86808	TRUE	AOIO01000049.1	AOIO01000049.1_101	""					
102	87080	87628	TRUE	AOIO01000049.1	AOIO01000049.1_102	""				LEUCINE-RESPONSIVE REGULATORY PROTEIN	3e-21
103	87611	87736	FALSE	AOIO01000049.1	AOIO01000049.1_103	""					
104	87853	88185	FALSE	AOIO01000049.1	AOIO01000049.1_104	""				RmlC-like cupins	3.06e-17
105	88370	90403	TRUE	AOIO01000049.1	AOIO01000049.1_105	""				5-OXOPROLINASE RELATED	0
106	90404	92206	TRUE	AOIO01000049.1	AOIO01000049.1_106	""				Hydantoinase B/oxoprolinase	0
107	92577	92792	TRUE	AOIO01000049.1	AOIO01000049.1_107	""					
108	92789	93373	TRUE	AOIO01000049.1	AOIO01000049.1_108	ORF21.faa	218	6.1e-67	192		
109	93370	94398	TRUE	AOIO01000049.1	AOIO01000049.1_109	""					
110	94395	95633	TRUE	AOIO01000049.1	AOIO01000049.1_110	ORF23.faa	555.3	5e-169	420		
111	95634	97265	TRUE	AOIO01000049.1	AOIO01000049.1_111	ORF24.faa	642	3.5e-195	510		
112	97634	100003	TRUE	AOIO01000049.1	AOIO01000049.1_112	""					
113	100016	100963	TRUE	AOIO01000049.1	AOIO01000049.1_113	""				Nucleic acid-binding proteins	4.28e-30
114	101243	101749	TRUE	AOIO01000049.1	AOIO01000049.1_114	""					
16	9131	9751	TRUE	AOIP01000022.1	AOIP01000022.1_16	""					
17	9932	10495	FALSE	AOIP01000022.1	AOIP01000022.1_17	""				Archaeal Type IV pilin, N-terminal	3.4e-24
18	10824	11612	TRUE	AOIP01000022.1	AOIP01000022.1_18	""					
19	11686	11886	FALSE	AOIP01000022.1	AOIP01000022.1_19	""					
20	12187	12837	TRUE	AOIP01000022.1	AOIP01000022.1_20	""					
21	12848	16498	TRUE	AOIP01000022.1	AOIP01000022.1_21	ORF6.faa	1340.9	0	1183	Quinoprotein alcohol dehydrogenase-like	1.65e-68
22	16495	18036	TRUE	AOIP01000022.1	AOIP01000022.1_22	""				Peptidase S8/S53 domain	3.5e-52
23	18040	18813	TRUE	AOIP01000022.1	AOIP01000022.1_23	ORF8.faa	354.5	1.2e-108	258		
24	18922	19956	TRUE	AOIP01000022.1	AOIP01000022.1_24	ORF10.faa	289.7	1.4e-88	315		
25	20045	20293	TRUE	AOIP01000022.1	AOIP01000022.1_25	""					
26	20448	21095	TRUE	AOIP01000022.1	AOIP01000022.1_26	""					
27	21304	21759	TRUE	AOIP01000022.1	AOIP01000022.1_27	""					
28	21756	22697	TRUE	AOIP01000022.1	AOIP01000022.1_28	ORF17.faa	422.5	3.6e-129	298		
29	22694	22930	TRUE	AOIP01000022.1	AOIP01000022.1_29	""					
30	22927	23217	TRUE	AOIP01000022.1	AOIP01000022.1_30	""					
31	23387	23602	TRUE	AOIP01000022.1	AOIP01000022.1_31	""					
32	23599	24183	TRUE	AOIP01000022.1	AOIP01000022.1_32	ORF21.faa	219.8	1.2e-67	192		
33	24180	25208	TRUE	AOIP01000022.1	AOIP01000022.1_33	""					
34	25205	26443	TRUE	AOIP01000022.1	AOIP01000022.1_34	ORF23.faa	557.1	1e-169	420		
35	26444	28075	TRUE	AOIP01000022.1	AOIP01000022.1_35	ORF24.faa	640.2	9.3e-195	512		
36	28090	30459	TRUE	AOIP01000022.1	AOIP01000022.1_36	""					
37	30472	31419	TRUE	AOIP01000022.1	AOIP01000022.1_37	""				Nucleic acid-binding proteins	5.65e-31
38	31699	33282	TRUE	AOIP01000022.1	AOIP01000022.1_38	""					
39	33361	33810	TRUE	AOIP01000022.1	AOIP01000022.1_39	""					
40	33877	34557	FALSE	AOIP01000022.1	AOIP01000022.1_40	""					
32	26348	30238	FALSE	AOIR01000042.1	AOIR01000042.1_32	""				CobN/Magnesium Chelatase	0
33	30273	32606	TRUE	AOIR01000042.1	AOIR01000042.1_33	""				MAGNESIUM-CHELATASE SUBUNIT CHLI	1.9e-113
34	32721	34274	TRUE	AOIR01000042.1	AOIR01000042.1_34	""				XANTHINE-URACIL / VITAMIN C PERMEASE FAMILY MEMBER	2.6e-125
35	34386	35210	TRUE	AOIR01000042.1	AOIR01000042.1_35	""				alpha/beta hydrolase	2.4e-52
36	35358	36011	TRUE	AOIR01000042.1	AOIR01000042.1_36	""				R_hydratase	4.31938e-46
37	36139	37464	TRUE	AOIR01000042.1	AOIR01000042.1_37	ORF6.faa	70.3	5.1e-22	254	CELL SURFACE PROTEIN	8e-45
38	37636	37947	TRUE	AOIR01000042.1	AOIR01000042.1_38	""					
39	38074	38166	FALSE	AOIR01000042.1	AOIR01000042.1_39	""					
40	39198	39758	TRUE	AOIR01000042.1	AOIR01000042.1_40	""					
41	40212	41303	TRUE	AOIR01000042.1	AOIR01000042.1_41	""				Intergrase catalytic core	4.4e-17
42	41446	41805	FALSE	AOIR01000042.1	AOIR01000042.1_42	""					
43	41965	45603	TRUE	AOIR01000042.1	AOIR01000042.1_43	ORF6.faa	846.7	2.3e-256	1172	Quinoprotein alcohol dehydrogenase-like	3.14e-15
44	45596	47278	TRUE	AOIR01000042.1	AOIR01000042.1_44	""				Peptidase S8/S53 domain	1.2e-55
45	47278	48096	TRUE	AOIR01000042.1	AOIR01000042.1_45	ORF8.faa	143.6	3.5e-44	248		
46	48263	49249	TRUE	AOIR01000042.1	AOIR01000042.1_46	ORF10.faa	96.2	1.3e-29	317		
47	49396	50106	TRUE	AOIR01000042.1	AOIR01000042.1_47	""					
48	50106	50543	TRUE	AOIR01000042.1	AOIR01000042.1_48	""					
49	50522	51436	TRUE	AOIR01000042.1	AOIR01000042.1_49	ORF17.faa	329	1.4e-100	296		
50	51442	51699	TRUE	AOIR01000042.1	AOIR01000042.1_50	""					
51	51699	51965	TRUE	AOIR01000042.1	AOIR01000042.1_51	""					
52	52065	52313	TRUE	AOIR01000042.1	AOIR01000042.1_52	""					
53	52310	52891	TRUE	AOIR01000042.1	AOIR01000042.1_53	ORF21.faa	194.7	7.7e-60	172		
54	52891	53916	TRUE	AOIR01000042.1	AOIR01000042.1_54	""					
55	53919	55250	TRUE	AOIR01000042.1	AOIR01000042.1_55	ORF23.faa	467.8	1.6e-142	430		
56	55253	56785	TRUE	AOIR01000042.1	AOIR01000042.1_56	ORF24.faa	487.1	3e-148	498		
57	56852	59248	TRUE	AOIR01000042.1	AOIR01000042.1_57	""					
58	59502	59756	FALSE	AOIR01000042.1	AOIR01000042.1_58	""					
59	60046	60204	TRUE	AOIR01000042.1	AOIR01000042.1_59	""					
60	60255	60635	TRUE	AOIR01000042.1	AOIR01000042.1_60	""					
61	61478	61825	FALSE	AOIR01000042.1	AOIR01000042.1_61	""					
22	21821	22453	TRUE	AOJE01000025.1	AOJE01000025.1_22	""					
23	22532	22768	TRUE	AOJE01000025.1	AOJE01000025.1_23	""					
24	22768	23331	TRUE	AOJE01000025.1	AOJE01000025.1_24	""					
25	23604	23912	FALSE	AOJE01000025.1	AOJE01000025.1_25	""					
26	24243	24959	TRUE	AOJE01000025.1	AOJE01000025.1_26	""				Resolvase-like	2.09e-07
27	25073	28525	TRUE	AOJE01000025.1	AOJE01000025.1_27	ORF6.faa	726.5	3e-220	712	Quinoprotein alcohol dehydrogenase-like	2.12e-10
28	28549	30054	TRUE	AOJE01000025.1	AOJE01000025.1_28	""				Peptidase S8/S53 domain	3.2e-55
29	30009	30779	TRUE	AOJE01000025.1	AOJE01000025.1_29	ORF8.faa	125.3	9e-39	247		
30	30941	31930	TRUE	AOJE01000025.1	AOJE01000025.1_30	ORF10.faa	84.6	3.2e-26	316		
31	31943	32116	TRUE	AOJE01000025.1	AOJE01000025.1_31	""					
32	32189	32905	TRUE	AOJE01000025.1	AOJE01000025.1_32	""					
33	32902	33297	TRUE	AOJE01000025.1	AOJE01000025.1_33	""					
34	33294	34151	TRUE	AOJE01000025.1	AOJE01000025.1_34	ORF17.faa	320.9	2.8e-98	285		
35	34152	34406	TRUE	AOJE01000025.1	AOJE01000025.1_35	""					
36	34403	34678	TRUE	AOJE01000025.1	AOJE01000025.1_36	""					
37	34770	35399	TRUE	AOJE01000025.1	AOJE01000025.1_37	ORF21.faa	188.3	5.1e-58	179		
38	35399	36418	TRUE	AOJE01000025.1	AOJE01000025.1_38	""					
39	36448	37746	TRUE	AOJE01000025.1	AOJE01000025.1_39	ORF23.faa	474.2	1.3e-144	407		
40	37746	39188	TRUE	AOJE01000025.1	AOJE01000025.1_40	ORF24.faa	549.4	2.7e-167	485		
41	39210	41579	TRUE	AOJE01000025.1	AOJE01000025.1_41	""				P-loop containing nucleoside triphosphate hydrolases	4.94e-07
42	41803	42207	FALSE	AOJE01000025.1	AOJE01000025.1_42	""					
43	42432	43337	FALSE	AOJE01000025.1	AOJE01000025.1_43	""					
44	43645	44139	FALSE	AOJE01000025.1	AOJE01000025.1_44	""					
45	45384	46244	TRUE	AOJE01000025.1	AOJE01000025.1_45	""					
17	10545	11033	TRUE	AOJE01000038.1	AOJE01000038.1_17	""				Archaeal Type IV pilin, N-terminal	1.2e-22
18	11086	11496	FALSE	AOJE01000038.1	AOJE01000038.1_18	""				Archaeal Type IV pilin, N-terminal	5.7e-15
19	11639	12310	TRUE	AOJE01000038.1	AOJE01000038.1_19	""					
20	12454	12903	TRUE	AOJE01000038.1	AOJE01000038.1_20	""					
21	13030	13275	TRUE	AOJE01000038.1	AOJE01000038.1_21	""					
22	13499	16633	TRUE	AOJE01000038.1	AOJE01000038.1_22	ORF6.faa	945	1.1e-286	117	Carboxypeptidase regulatory domain-like	2.88e-06
23	16728	17219	FALSE	AOJE01000038.1	AOJE01000038.1_23	""					
24	17953	18828	TRUE	AOJE01000038.1	AOJE01000038.1_24	""				P-loop containing nucleoside triphosphate hydrolases	3.22e-27
16	13545	14354	FALSE	AOJE01000051.1	AOJE01000051.1_16	""				HNH_5	2.6e-08
17	14354	15601	FALSE	AOJE01000051.1	AOJE01000051.1_17	""				orc1/cdc6 family replication initiation protein	6.9e-111
18	16589	18214	TRUE	AOJE01000051.1	AOJE01000051.1_18	""					
19	18742	20757	FALSE	AOJE01000051.1	AOJE01000051.1_19	""				P-loop containing nucleoside triphosphate hydrolases	3.61e-06
20	20867	21313	FALSE	AOJE01000051.1	AOJE01000051.1_20	""					
21	21356	22855	FALSE	AOJE01000051.1	AOJE01000051.1_21	ORF24.faa	593.3	9.8e-181	499		
22	23199	23945	FALSE	AOJE01000051.1	AOJE01000051.1_22	ORF23.faa	301.2	2.9e-92	242		
23	23897	24472	FALSE	AOJE01000051.1	AOJE01000051.1_23	ORF23.faa	67.1	3.3e-21	95		
24	24469	25500	FALSE	AOJE01000051.1	AOJE01000051.1_24	""					
25	25500	26099	FALSE	AOJE01000051.1	AOJE01000051.1_25	ORF21.faa	233.2	6.2e-72	195		
26	26106	26339	FALSE	AOJE01000051.1	AOJE01000051.1_26	""					
27	26488	26769	FALSE	AOJE01000051.1	AOJE01000051.1_27	""					
28	26769	27005	FALSE	AOJE01000051.1	AOJE01000051.1_28	""					
29	27002	27916	FALSE	AOJE01000051.1	AOJE01000051.1_29	ORF17.faa	359.2	4.3e-110	291		
30	27913	28017	FALSE	AOJE01000051.1	AOJE01000051.1_30	""					
31	28049	29308	FALSE	AOJE01000051.1	AOJE01000051.1_31	""				RNA-guided endonuclease TnpB family protein	3.6e-44
32	29362	29499	TRUE	AOJE01000051.1	AOJE01000051.1_32	""					
33	29576	29893	FALSE	AOJE01000051.1	AOJE01000051.1_33	""					
34	29890	30270	FALSE	AOJE01000051.1	AOJE01000051.1_34	""					
35	30270	31013	FALSE	AOJE01000051.1	AOJE01000051.1_35	""					
36	31010	31243	FALSE	AOJE01000051.1	AOJE01000051.1_36	""					
37	31496	31804	FALSE	AOJE01000051.1	AOJE01000051.1_37	""					
38	31801	32118	FALSE	AOJE01000051.1	AOJE01000051.1_38	""					
39	32354	32644	FALSE	AOJE01000051.1	AOJE01000051.1_39	""					
40	32646	34139	FALSE	AOJE01000051.1	AOJE01000051.1_40	ORF10.faa	130.6	2.3e-40	160		
41	34248	35015	FALSE	AOJE01000051.1	AOJE01000051.1_41	""				Intergrase catalytic core	2.5e-25
42	35062	35661	FALSE	AOJE01000051.1	AOJE01000051.1_42	""					
43	35661	36479	FALSE	AOJE01000051.1	AOJE01000051.1_43	""					
44	36486	37475	FALSE	AOJE01000051.1	AOJE01000051.1_44	""					
45	37472	37612	FALSE	AOJE01000051.1	AOJE01000051.1_45	""				mttA/Hcf106 family	1e-09
46	37599	37829	FALSE	AOJE01000051.1	AOJE01000051.1_46	""					
47	37826	38638	FALSE	AOJE01000051.1	AOJE01000051.1_47	ORF8.faa	275.9	7.3e-85	257		
48	38647	39438	FALSE	AOJE01000051.1	AOJE01000051.1_48	""				Peptidase S8/S53 domain	1.3e-41
49	39435	40301	FALSE	AOJE01000051.1	AOJE01000051.1_49	""					
50	40298	44122	FALSE	AOJE01000051.1	AOJE01000051.1_50	ORF6.faa	956.5	8e-290	1228		
51	44457	45113	FALSE	AOJE01000051.1	AOJE01000051.1_51	""					
52	45433	46260	FALSE	AOJE01000051.1	AOJE01000051.1_52	""					
53	46307	48169	FALSE	AOJE01000051.1	AOJE01000051.1_53	""					
14	11467	11673	FALSE	AOLZ01000012.1	AOLZ01000012.1_14	""					
15	11957	12154	FALSE	AOLZ01000012.1	AOLZ01000012.1_15	""					
16	12460	13122	TRUE	AOLZ01000012.1	AOLZ01000012.1_16	""					
17	13280	15133	TRUE	AOLZ01000012.1	AOLZ01000012.1_17	""				Integrin alpha N-terminal domain	3.66e-15
18	15136	15738	TRUE	AOLZ01000012.1	AOLZ01000012.1_18	""					
19	15743	19432	TRUE	AOLZ01000012.1	AOLZ01000012.1_19	ORF6.faa	1247.8	0	1177	Quinoprotein alcohol dehydrogenase-like	7.06e-55
20	19445	21022	TRUE	AOLZ01000012.1	AOLZ01000012.1_20	""				Peptidase S8/S53 domain	8.2e-50
21	21028	21840	TRUE	AOLZ01000012.1	AOLZ01000012.1_21	ORF8.faa	307	1e-93	259		
22	21958	23379	TRUE	AOLZ01000012.1	AOLZ01000012.1_22	ORF10.faa	143	1.6e-43	117	Protein of unknown function (DUF2808)	1.9e-07
23	23572	24282	TRUE	AOLZ01000012.1	AOLZ01000012.1_23	""					
24	24287	24478	TRUE	AOLZ01000012.1	AOLZ01000012.1_24	""					
25	24538	24795	TRUE	AOLZ01000012.1	AOLZ01000012.1_25	""					
26	24798	25061	TRUE	AOLZ01000012.1	AOLZ01000012.1_26	""					
27	25064	26422	TRUE	AOLZ01000012.1	AOLZ01000012.1_27	ORF17.faa	397.8	3.2e-121	289		
28	26419	26730	TRUE	AOLZ01000012.1	AOLZ01000012.1_28	""					
29	26727	27032	TRUE	AOLZ01000012.1	AOLZ01000012.1_29	""					
30	27079	27318	TRUE	AOLZ01000012.1	AOLZ01000012.1_30	""					
31	27315	27983	TRUE	AOLZ01000012.1	AOLZ01000012.1_31	ORF21.faa	234.3	1.1e-71	196		
32	27980	28975	TRUE	AOLZ01000012.1	AOLZ01000012.1_32	""					
33	28990	30336	TRUE	AOLZ01000012.1	AOLZ01000012.1_33	ORF23.faa	550.9	2e-167	425		
34	30340	32361	TRUE	AOLZ01000012.1	AOLZ01000012.1_34	ORF24.faa	706.9	1.5e-214	521		
35	32367	34847	TRUE	AOLZ01000012.1	AOLZ01000012.1_35	""					
36	34850	35788	TRUE	AOLZ01000012.1	AOLZ01000012.1_36	""				Nucleic acid-binding proteins	6.68e-27
37	36175	36984	TRUE	AOLZ01000012.1	AOLZ01000012.1_37	""					
38	36981	37220	TRUE	AOLZ01000012.1	AOLZ01000012.1_38	""					
39	37224	37724	TRUE	AOLZ01000012.1	AOLZ01000012.1_39	""					
10	9375	9689	FALSE	AOMA01000019.1	AOMA01000019.1_10	""					
11	9696	9932	FALSE	AOMA01000019.1	AOMA01000019.1_11	""					
12	9929	10651	FALSE	AOMA01000019.1	AOMA01000019.1_12	""					
13	10669	11655	FALSE	AOMA01000019.1	AOMA01000019.1_13	""				S49_Sppa_N_C	5.66675e-66
14	11834	12256	FALSE	AOMA01000019.1	AOMA01000019.1_14	""					
